brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
intego,223,6,6,0.026905829596412557,1.0,0.026905829596412557
ark,2464,143,66,0.05803571428571429,0.46153846153846156,0.026785714285714284
wharfedale,150,14,4,0.09333333333333334,0.2857142857142857,0.02666666666666667
arian,451,30,12,0.06651884700665188,0.4,0.026607538802660754
wacom,490,20,13,0.04081632653061224,0.65,0.026530612244897958
makita,2770,118,73,0.04259927797833935,0.6186440677966102,0.02635379061371841
zte,724,32,19,0.04419889502762431,0.59375,0.026243093922651933
hyundai,3054,113,80,0.03700065487884741,0.7079646017699115,0.02619515389652914
cisco,153,1,4,0.006535947712418301,4.0,0.026143790849673203
buro,957,38,25,0.03970741901776385,0.6578947368421053,0.02612330198537095
aerocool,3258,170,84,0.0521792510742787,0.49411764705882355,0.02578268876611418
molex,39,2,1,0.05128205128205128,0.5,0.02564102564102564
janome,4839,196,124,0.040504236412481916,0.6326530612244898,0.025625129158917133
bbk,6986,290,176,0.04151159461780704,0.6068965517241379,0.02519324363011738
